iter	Passed	Remaining
0	1	130
1	2	134
2	3	124
3	4	118
4	6	115
5	7	112
6	8	110
7	9	108
8	10	106
9	11	104
10	12	102
11	13	101
12	14	100
13	16	99
14	17	97
15	18	96
16	19	95
17	20	93
18	21	92
19	22	90
20	23	89
21	24	88
22	25	86
23	27	85
24	28	84
25	29	83
26	30	82
27	32	82
28	33	81
29	34	80
30	35	78
31	36	77
32	37	76
33	38	75
34	39	74
35	41	72
36	42	71
37	43	70
38	44	69
39	45	68
40	46	67
41	47	66
42	48	64
43	49	63
44	50	62
45	51	60
46	52	59
47	54	58
48	55	57
49	56	56
50	57	55
51	58	54
52	59	52
53	60	51
54	62	50
55	63	49
56	64	48
57	65	47
58	66	46
59	67	45
60	68	44
61	70	42
62	71	41
63	72	40
64	73	39
65	74	38
66	75	37
67	76	36
68	77	34
69	78	33
70	80	32
71	81	31
72	82	30
73	83	29
74	84	28
75	85	27
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	92	20
82	93	19
83	94	17
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	102	10
91	103	8
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
